rectangle;(113,47,219);F;3;31;63;35
square;(171,60,155);T;391;364;58;58
square;(98,171,31);T;385;177;31;31
circle;(251,22,15);T;373;303;45;45
rectangle;(175,46,108);F;351;30;68;48
circle;(176,139,119);F;62;65;54;54
rectangle;(66,59,185);F;49;292;50;41
rectangle;(223,48,43);F;216;367;63;34
square;(65,169,185);F;379;45;69;69
ellipse;(210,106,250);F;400;296;56;41
rectangle;(169,99,210);T;169;288;58;40
square;(4,254,49);F;14;137;46;46
square;(121,110,23);T;363;211;64;64
square;(202,243,178);T;27;342;65;65
circle;(207,250,52);T;64;338;43;43
rectangle;(28,94,11);F;132;167;61;55
ellipse;(140,38,88);T;218;74;36;46
circle;(207,9,54);F;96;236;37;37
circle;(179,93,153);T;12;144;36;36
rectangle;(152,51,95);T;102;38;61;57
ellipse;(179,164,45);T;336;271;34;40
rectangle;(159,76,46);F;89;99;68;63
circle;(169,91,23);F;346;173;63;63
rectangle;(143,44,86);T;332;237;67;53
rectangle;(220,249,202);T;118;326;44;38
square;(248,240,23);T;255;19;34;34
rectangle;(132,92,201);F;75;153;45;34
circle;(128,105,214);T;249;205;62;62
ellipse;(160,149,187);T;358;152;37;65
rectangle;(6,121,165);T;261;339;32;35
rectangle;(108,222,86);F;38;186;54;58
circle;(192,145,224);T;100;180;51;51
circle;(191,40,115);T;308;27;64;64
square;(28,102,175);T;234;139;55;55
rectangle;(56,174,111);T;299;256;37;37
square;(135,137,31);F;176;331;39;39
circle;(227,212,68);T;394;46;36;36
ellipse;(230,109,236);T;8;212;38;47
rectangle;(91,79,146);F;18;297;42;51
circle;(255,93,197);F;343;15;32;32
square;(226,72,22);T;148;208;52;52
circle;(132,91,93);T;182;288;48;48
rectangle;(116,171,50);F;90;274;32;65
square;(210,35,17);T;143;77;47;47
square;(95,121,128);F;175;364;68;68
rectangle;(70,16,148);F;297;38;61;52
square;(187,241,148);F;131;102;31;31
circle;(103,58,118);T;95;325;30;30
ellipse;(130,104,66);F;103;322;55;63
square;(242,187,7);F;161;213;50;50
